id,name,address,phone,description,lat,lng,locales
d001,PANORA.GR,ΑΒΕΡΩΦ 7 ΧΡΥΣΟΥΠΟΛΗ,2591022401,Η ΕΤΑΙΡΙΑ PANORA.GR ΔΡΑΣΤΗΡΙΟΠΟΙΕΙΤΑΙ ΣΤΗΝ ΠΩΛΗΣΗ ΚΑΤΑΝΑΛΩΤΙΚΩΝ ΕΙΔΩΝ ΜΕΣΩ ΔΙΑΔΙΚΤΥΟΥ.,,,el|en
d002,SMOKERS.GR,ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ 45-49 ΠΑΤΗΣΙΑ,2118000816,Η ΕΤΑΙΡΕΙΑ SMOKERS.GR ΔΡΑΣΤΗΡΙΟΠΟΙΕΙΤΑΙ ΣΤΟ ΧΩΡΟ ΤΩΝ ΚΑΠΝΙΚΩΝ ΠΡΟΙΟΝΤΩΝ ΚΑΙ ΤΟΥ ΗΛΕΚΤΡΟΝΙΚΟΥ ΤΣΙΓΑΡΟΥ ΑΠΟ ΤΟ 2008.,,,el|en
d003,MONTECRISTO-SHOP.GR,"ΑΡΜΕΝ 24,  ΔΡΑΜΑ 66132",2521028170,Η ΕΤΑΙΡΙΑ MONTECRISTO-SHOP.GR ΔΡΑΣΤΗΡΙΟΠΟΙΕΙΤΑΙ ΣΤΗΝ ΧΟΝΔΡΙΚΗ ΣΕ ΧΑΡΤΑΚΙΑ,,,el|en
d004,ΑΜΦΙΘΕΑΣ ΚΙΟΣΚ,ΛΕΩΦ.ΑΜΦΙΘΕΑΣ 187,2109819735,,,,el|en
d005,ΔΑΡΖΕΝΤΑΣ ΣΠΥΡΟΣ,ΣΑΝΤΟΡΙΝΗ 847 00,2286032731,,,,el|en
d006,ΆΡΩΜΑ ΚΑΠΝΟΥ,"ΛΕΩΦΟΡΟΣ ΑΚΡΩΤΗΡΙΟΥ 46,  26332 ΠΑΤΡΑ ΑΧΑΪΑΣ",2610343424,ΔΙΟΝΥΣΑΤΟΥ ΕΡΜΙΟΝΗ,,,el|en
d007,ΚΑΠΝΟΚΑΤΑΣΤΑΣΗ,"ΑΓΙΟΥ ΜΕΛΕΤΙΟΥ 200 ΑΘΗΝΑ ΣΕΠΟΛΙΑ 10443, ΠΛΗΣΙΟΝ ΙΕΡΟΥ ΝΑΟΥ ΑΓΙΟΥ ΜΕΛΕΤΙΟΥ",2111837299,ΚΥΡΙΑΚΟΥ ΚΩΝΣΤΑΝΤΙΝΑ,,,el|en
d008,EXPRESS MARKET,"ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΑΛΕΞΑΝΔΡΟΥ 26,  ΑΙΓΑΛΕΩ ΑΤΤΙΚΗΣ 12241",2105619092,ΟΥΖΟΥΝΙΔΟΥ ΦΛΩΡΑ,,,el|en
d009,BEKACCO,"ΤΣΑΜΑΔΟΥ ΑΝΑΣΤΑΣΙΟΥ 18-20, 18531 ΠΕΙΡΑΙΑΣ ΑΤΤΙΚΗΣ",2104100090,ΕΙΔΗ ΚΑΠΝΙΣΤΟΥ,,,el|en
d010,E-SMOKE,"ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ 30, ΒΕΡΟΙΑ 591 32",2331029106,ΚΑΠΝΑ - ΠΟΥΡΑ - ΤΣΙΓΑΡΑ,,,el|en
